date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,3597.216,3292.691,,304.525,1072.08,,0.10828795110345085,Jodhpur,,,
2020-01-02,3599.064,3321.741,,277.323,1063.25,,0.10824030351855184,Jodhpur,,,
2020-01-03,3663.228,3385.166,,278.062,1043.504,,0.10509489362988475,Jodhpur,,,
2020-01-04,3646.264,3381.092,,265.172,1031.165,,0.09742844471830288,Jodhpur,,,
2020-01-05,3543.834,3251.404,,292.43,1031.56,,0.10244349546072856,Jodhpur,,,
2020-01-06,3346.032,3267.067,,78.965,1037.428,,0.10525486093385186,Jodhpur,,,
2020-01-07,3574.1510000000003,3331.168,,242.983,1124.723,,0.10729421711671423,Jodhpur,,,
2020-01-08,3581.345,3344.538,,236.807,1097.744,,0.1054575972584536,Jodhpur,,,
2020-01-09,3521.147,3280.831,,240.316,1032.005,,0.10557534837526504,Jodhpur,,,
2020-01-10,3484.5060000000003,3225.061,,259.445,1032.536,,0.10545715202098717,Jodhpur,,,
2020-01-11,3290.499,3290.499,,0.0,1031.294,,0.09893578440343896,Jodhpur,,,
2020-01-12,3590.0,3307.37,,282.63,1039.376,,0.10362142683858565,Jodhpur,,,
2020-01-13,3536.146,3333.674,,202.472,1140.707,,0.11390124527126784,Jodhpur,,,
2020-01-14,3510.691,3279.999,,230.692,1079.602,,0.1064149259464137,Jodhpur,,,
2020-01-15,3441.485,3194.088,,247.397,1073.236,,0.11236090051173805,Jodhpur,,,
2020-01-16,3405.699,3198.8,,206.899,1112.366,,0.10534647470034504,Jodhpur,,,
2020-01-17,3610.628,3351.266,,259.362,1075.781,,0.10987098446030044,Jodhpur,,,
2020-01-18,3568.654,3321.479,,247.175,1034.646,,0.09272557556155746,Jodhpur,,,
2020-01-19,3413.43,3188.173,,225.257,1024.7,,0.0858709299905461,Jodhpur,,,
2020-01-20,3519.0550000000003,3304.315,,214.74,1026.951,,0.10360963525359955,Jodhpur,,,
2020-01-21,3590.721,3347.724,,242.997,1028.823,,0.10909566169414615,Jodhpur,,,
2020-01-22,3511.892,3248.785,,263.107,1047.637,,0.09856626335927328,Jodhpur,,,
2020-01-23,3529.949,3298.311,,231.638,1029.063,,0.1065546181092373,Jodhpur,,,
2020-01-24,3612.515,3389.572,,222.943,1026.728,,0.1083044858283331,Jodhpur,,,
2020-01-25,3504.4309999999996,3428.45,,75.981,1027.52,,0.09505139826613548,Jodhpur,,,
2020-01-26,3266.621,3266.621,,0.0,1031.035,,0.09720216835495915,Jodhpur,,,
2020-01-27,3459.1209999999996,3354.622,,104.499,1031.671,,0.10572948826369807,Jodhpur,,,
2020-01-28,3631.104,3396.66,,234.444,1057.11,,0.10552209295444369,Jodhpur,,,
2020-01-29,3646.365,3412.763,,233.602,1027.64,,0.1047908631122811,Jodhpur,,,
2020-01-30,3679.955,3432.514,,247.441,1028.156,,0.1048119891546081,Jodhpur,,,
2020-01-31,3638.327,3414.254,,224.073,1029.275,,0.10368271287802407,Jodhpur,,,
2020-02-01,3575.609,3351.536,,224.073,1032.121,,0.09502291884464452,Jodhpur,,,
2020-02-02,3442.784,3193.891,,248.893,1029.419,,0.10252183104878894,Jodhpur,,,
2020-02-03,3528.7090000000003,3279.318,,249.391,1020.808,,0.10797356242308577,Jodhpur,,,
2020-02-04,3600.945,3353.315,,247.63,1029.519,,0.10820137703437964,Jodhpur,,,
2020-02-05,3600.064,3350.143,,249.921,1030.612,,0.10819086448873659,Jodhpur,,,
2020-02-06,3585.351,3345.866,,239.485,1029.113,,0.1082084357847246,Jodhpur,,,
2020-02-07,3627.894,3392.242,,235.652,1034.826,,0.10533949363402643,Jodhpur,,,
2020-02-08,3534.549,3284.169,,250.38,1032.552,,0.09383474597488498,Jodhpur,,,
2020-02-09,3477.382,3221.681,,255.701,1034.262,,0.10512050032223455,Jodhpur,,,
2020-02-10,3514.737,3273.271,,241.466,1035.258,,0.10533599769360016,Jodhpur,,,
2020-02-11,3338.107,3292.012,,46.095,1027.672,,0.10659078970168645,Jodhpur,,,
2020-02-12,3600.583,3322.879,,277.704,1029.055,,0.08950493715156285,Jodhpur,,,
2020-02-13,3717.624,3446.682,,270.942,1028.856,,0.10414501343261194,Jodhpur,,,
2020-02-14,3679.729,3425.344,,254.385,1026.413,,0.10820166576319673,Jodhpur,,,
2020-02-15,3704.505,3450.12,,254.385,1032.387,,0.0918092394416792,Jodhpur,,,
2020-02-16,3537.521,3320.344,,217.177,1032.239,,0.100206476243309,Jodhpur,,,
2020-02-17,3421.4280000000003,3401.068,,20.36,1026.917,,0.10412647026908305,Jodhpur,,,
2020-02-18,3721.089,3467.015,,254.074,1028.43,,0.10169632753548616,Jodhpur,,,
2020-02-19,3437.3309999999997,3431.901,,5.43,1022.575,,0.10413347800467525,Jodhpur,,,
2020-02-20,3611.546,3369.795,,241.751,1016.503,,0.09947125598254912,Jodhpur,,,
2020-02-21,3499.616,3255.074,,244.542,1019.308,,0.1013068444504629,Jodhpur,,,
2020-02-22,3561.841,3292.711,,269.13,1020.791,,0.0934445031003069,Jodhpur,,,
2020-02-23,3512.958,3216.251,,296.707,1021.173,,0.1077225661078705,Jodhpur,,,
2020-02-24,3580.941,3319.893,,261.048,1017.574,,0.10675780921937025,Jodhpur,,,
2020-02-25,3657.778,3376.116,,281.662,1014.613,,0.10170663665721684,Jodhpur,,,
2020-02-26,3681.88,3411.099,,270.781,1039.859,,0.10144728602779636,Jodhpur,,,
2020-02-27,3356.865,3356.865,,0.0,1031.415,,0.09613716519194176,Jodhpur,,,
2020-02-28,3484.867,3337.909,,146.958,1057.278,,0.10836974214493753,Jodhpur,,,
2020-02-29,3553.517,3298.823,,254.694,1031.322,,0.09194300844420891,Jodhpur,,,
2020-03-01,3524.442,3260.614,,263.828,1045.532,,0.10365911920383195,Jodhpur,,,
2020-03-02,3594.763,3327.252,,267.511,1045.493,,0.10609573712384472,Jodhpur,,,
2020-03-03,3372.542,3372.542,,0.0,1038.044,,0.10306473659948376,Jodhpur,,,
